ID,Priority,pH,Salinity,Notes,OM,Carbonate,Colour,Land_use,Texture,Photo,Day,Text_desc,Coarse_siz,Coarse_per,Coarse_rou,Text_silt,Text_sand,Text_clay,Lat,Long,Sum,Struct,Perm_rock,k_factor,OM_muns,Density,TARGET_FID
146,0,0,0,0,2,0,7.5YR2.5/3,Rosemary,Stony loam,V0565,8,CL,25,35,1,35,32,33,42.672381666699998,25.207045000000001,100,4,5,8.2299999999999998e-002,7,1.3200000000000001,144
140,0,0,0,,2,0,10YR3/4,Pasture (wheat),Medium clay,1896,10,SiC,3,5,1,43,8,49,42.672398333300002,25.2809383333,100,4,5,4.8099999999999997e-002,9,1.21,139
141,0,0,0,noorth,2,0,10YR2/1,Tall wild grass,"Light clay loam, some stones",V0558,8,CL,0,0,1,35,32,33,42.672421083099998,25.2461443487,100,4,4,5.4800000000000001e-002,9,1.3200000000000001,140
143,0,0,0,W,2,0,10YR3/2,Ploughed field,Stony light clay,V0560,8,SC,10,5,1,8,51,41,42.673139999999997,25.2296616667,100,2,4,2.47e-003,4,1.3200000000000001,142
142,0,0,0,0,2,0,10YR2/2,Roadside pasture,Stony clay loam,L1813,9,SC,10,20,1,8,51,41,42.673335000000002,25.300561666699998,100,2,4,2.47e-003,4,1.3200000000000001,141
145,0,0,0,,1,0,2.5Y3/2,Grazing pasture,Stony light clay,L1893,10,L,25,40,1,41,41,18,42.673403333300001,25.260103333299998,100,3,3,3.372e-002,3,1.4199999999999999,197
144,0,0,0,0,1,0,10YR3/3,Grazed pasture,Stony loam,V0561,8,SC,30,65,1,8,51,41,42.673654999999997,25.22052,100,2,6,5.7800000000000004e-003,7,1.3200000000000001,143
199,0,0,0,S,2,0,10YR3/4,Harvested grain field,Slightly gravelly loam,3638,2,SCL,15,12.5,1,15,60,25,42.675378764599998,25.376767311799998,100,2,3,9.9600000000000001e-003,4,1.4099999999999999,195
147,0,0,0,N,2,1,10YR3/2,Ploughed deeply ripped field,Stony loam,L1815,9,SL,25,45,1,25,65,10,42.6755483333,25.295553333299999,100,3,3,2.4119999999999999e-002,3,1.5600000000000001,145
149,0,0,0,N,1,2,10YR3/2,Ploughed field (thistles),Stony clay loam,L1895,10,SCL,10,5,1,15,60,25,42.675819300999997,25.274400552300001,100,2,3,2.3290000000000002e-002,9,1.4099999999999999,147
150,1,0,0,N,9,9,,Sown grain field,Loam,3452,1,SiL,0,0,1,68,20,12,42.6772166684,25.3359416666,100,3,3,0.14201,9,1.4399999999999999,148
151,0,0,0,N,2,1,10YR2/2,Sown field,Gravelly clay loam,3636,2,SL,15,40,1,25,65,10,42.678517019899999,25.387235033,100,3,3,2.4119999999999999e-002,3,1.5600000000000001,149
155,0,0,0,,2,0,10YR3/3,Harvested field (wheat),Stony loam,V0564,8,CL,50,50,1,35,32,33,42.679938333300001,25.209029999999998,100,4,5,8.2299999999999998e-002,7,1.3200000000000001,153
174,0,0,0,,1,0,2.5Y3/3,Harvested field (wheat),Clay loam,4082,7,SiC,25,35,0,43,8,49,42.680945000000001,25.225024999999999,100,4,6,1.626e-002,4,1.21,172
152,0,0,0,,1,0,10YR2/2,Pasture,Light clay loam,NA,1,SC,7.5,5,1,8,51,41,42.681076711700001,25.328135842199998,100,2,4,3.0100000000000001e-003,2.25,1.3200000000000001,150
