"Married couple";"Glostrup";3457;3476
"Married couple";"Herlev";4591;4592
"Married couple";"Hvidovre";7965;7918
"Married couple";"Høje-Taastrup";7911;8012
"Married couple";"Ishøj";3277;3263
"Married couple";"Lyngby-Taarbæk";8989;9080
"Married couple";"Rødovre";5990;6041
"Married couple";"Vallensbæk";2970;2970
"Married couple";"Allerød";5331;5410
"Married couple";"Egedal";8591;8604
"Married couple";"Fredensborg";7571;7617
"Married couple";"Frederikssund";7920;7919
"Married couple";"Furesø";7783;7816
"Married couple";"Gribskov";7068;7109
"Married couple";"Halsnæs";5172;5160
"Married couple";"Helsingør";10369;10503
"Married couple";"Hillerød";8973;8973
"Married couple";"Hørsholm";4805;4807
"Married couple";"Rudersdal";10467;10566
"Married couple";"Bornholm";7144;7076
"Married couple";"Christiansø";20;20
"Married couple";"Region Sjælland";142251;142049
"Married couple";"Greve";9475;9375
"Married couple";"Køge";10370;10411
"Married couple";"Lejre";5276;5332
"Married couple";"Roskilde";15025;15214
"Married couple";"Solrød";4569;4585
"Married couple";"Faxe";6423;6362
"Married couple";"Guldborgsund";10084;9983
"Married couple";"Holbæk";11955;11981
"Married couple";"Kalundborg";8075;8061
"Married couple";"Lolland";6756;6654
"Married couple";"Næstved";13461;13479
"Married couple";"Odsherred";5726;5704
"Married couple";"Ringsted";5729;5748
"Married couple";"Slagelse";12419;12304
"Married couple";"Sorø";5101;5068
"Married couple";"Stevns";4215;4238
"Married couple";"Vordingborg";7592;7550
"Married couple";"Region Syddanmark";211803;211071
"Married couple";"Assens";7538;7534
"Married couple";"Faaborg-Midtfyn";9570;9503
"Married couple";"Kerteminde";4544;4496
"Married couple";"Langeland";2326;2295
"Married couple";"Middelfart";7392;7407
"Married couple";"Nordfyns";5566;5556
"Married couple";"Nyborg";5780;5731
"Married couple";"Odense";28558;28584
"Married couple";"Svendborg";10016;9965
"Married couple";"Ærø";1140;1122
"Married couple";"Billund";5057;5013
"Married couple";"Esbjerg";19741;19626
"Married couple";"Fanø";694;685
"Married couple";"Fredericia";8811;8768
"Married couple";"Haderslev";9883;9809
"Married couple";"Kolding";15823;15795
"Married couple";"Sønderborg";13850;13710
"Married couple";"Tønder";6999;6912
"Married couple";"Varde";9629;9627
"Married couple";"Vejen";7741;7745
"Married couple";"Vejle";20312;20437
"Married couple";"Aabenraa";10833;10751
"Married couple";"Region Midtjylland";222335;222783
"Married couple";"Favrskov";9399;9410
"Married couple";"Hedensted";9012;9076
"Married couple";"Horsens";15153;15248
"Married couple";"Norddjurs";6371;6297
"Married couple";"Odder";4394;4406
"Married couple";"Randers";16277;16275
"Married couple";"Samsø";679;671
"Married couple";"Silkeborg";16831;17043
"Married couple";"Skanderborg";12134;12256
"Married couple";"Syddjurs";8027;7998
"Married couple";"Aarhus";44079;44403
"Married couple";"Herning";16255;16287
"Married couple";"Holstebro";10655;10630
"Married couple";"Ikast-Brande";7686;7684
"Married couple";"Lemvig";4070;4040
"Married couple";"Ringkøbing-Skjern";11198;11141
"Married couple";"Skive";8632;8513
"Married couple";"Struer";4209;4207
"Married couple";"Viborg";17274;17198
"Married couple";"Region Nordjylland";101917;101487
"Married couple";"Brønderslev";6725;6749
"Married couple";"Frederikshavn";11269;11067
"Married couple";"Hjørring";11693;11564
"Married couple";"Jammerbugt";7458;7395
"Married couple";"Læsø";352;338
"Married couple";"Mariagerfjord";7756;7740
"Married couple";"Morsø";3755;3713
"Married couple";"Rebild";5826;5884
"Married couple";"Thisted";8292;8197
"Married couple";"Vesthimmerlands";6637;6569
"Married couple";"Aalborg";32154;32271
"Other couples";"Region Hovedstaden";106934;109105
"Other couples";"Copenhagen";50570;51978
"Other couples";"Frederiksberg";7826;7796
"Other couples";"Dragør";581;588
"Other couples";"Tårnby";1962;1975
